"m2dx_address","function_name","plate_comment_text","evidence_source","confidence"
"0x1000de70","DXSound::StopStream","Stop WAV stream + free g_pStreamFileBuffer. | port-side handling: td5_sound.c streaming gap. | Wave3-O1A 2026-05-22","SOUND,W1D","medium"
"0x1000ded0","DXSound::Refresh","Per-frame DXSound maintenance: poll all play-handles, clear isPlaying when DSBSTATUS!=PLAYING, advance streaming if active. | port-side handling: td5_sound.c per-frame audio update. | Wave3-O1A 2026-05-22","SOUND,W1D","high"
"0x1000abf0","DXSound::CanDo3D","Probe IDirectSound for 3D buffer support — returns 0/1 based on caps query. | port-side handling: td5_frontend.c:7552 confirms orig 3-mode cycle (0,1,2) gated by CanDo3D; port falls back to 2-mode (no 3D audio). | Wave3-O1A 2026-05-22","SOUND,SRC","high"
"0x100124b0","DXWin::Environment","Zero DXWin app singleton (DX::app at 0x10061ad0) + reset log-prefered flag. | port-side handling: main.c init; td5_game.c:583 confirms orig flow DXWin::Environment(lpCmdLine) -> port INI parse + log init. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10012a10","DXWin::Initialize","RegisterClass + CreateWindow + ShowWindow + initial peek-message pump. Bootstraps the singleton DX::app. | port-side handling: main.c WinMain creates the window; td5_game.c:587 confirms orig flow DXWin::Initialize -> Backend_CreateDevice + td5_platform_win32_init. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10012bd0","DXWin::Uninitialize","PostQuitMessage + DestroyWindow + release tied DXDraw/D3D state. | port-side handling: td5_game.c:597 confirms orig DXWin::Uninitialize+DestroyWindow -> td5re_shutdown+Backend_Shutdown. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10012c30","DXWin::DXInitialize","Convenience: call DXD3D::Create + DXDraw::Create + DXInput::Create + DXSound::Create + DXPlay::Create in sequence. | port-side handling: td5_game.c:594 confirms orig flow; port wires these to ddraw_wrapper + td5_input/sound/net init. | Wave3-O1A 2026-05-22","INPUT,SRC","high"
"0x10012c70","DXWin::CleanUpAndPostQuit","Trigger graceful exit — sets quit flag, message pump drains, then PostQuitMessage. | port-side handling: main.c quit path; ESC during race or window close. | Wave3-O1A 2026-05-22","W1D","high"
"0x10012e90","DXWin::Pause","Suspend message pump while focus lost (WM_ACTIVATE FALSE). | port-side handling: main.c WM_ACTIVATE handling. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10011060","DX::Allocate","Wrapper over CRT malloc — returns void* or NULL. Used by all DX subsystems for heap allocs. | port-side handling: Port uses direct CRT malloc/free; no DX::Allocate equivalent. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10011070","DX::DeAllocate","Wrapper over CRT free. | port-side handling: Port uses direct CRT free. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10010c80","DX::BitCount","popcount on a uint32 — used by DXDraw pixel-format-mask decoding. | port-side handling: Not ported; D3D11 backend bypasses pixel-format introspection. | Wave3-O1A 2026-05-22","W1D","low"
"0x10010ec0","DX::FOpen","Wrapper over fopen — returns FILE* or NULL. Sets DX::LastError on failure. | port-side handling: Port uses direct fopen + td5_asset.c ZIP reader for archive entries. | Wave3-O1A 2026-05-22","W1D","high"
"0x10010f40","DX::FClose","Wrapper over fclose. | port-side handling: Port uses direct fclose. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10010f60","DX::FRead","Wrapper over fread. | port-side handling: Port uses direct fread; td5_asset.c inflates ZIP entries. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10010f80","DX::FWrite","Wrapper over fwrite. Note: never called for replay save (replay-recording-system.md confirms in-memory only). | port-side handling: td5_save.c uses direct fwrite for Config.td5 / CupData.td5; no replay export. | Wave3-O1A 2026-05-22","W1D,REPLY","high"
"0x10010fb0","DX::FSeek","Wrapper over fseek. | port-side handling: Port uses direct fseek. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10011010","DX::FSize","Return file size via fseek(END) + ftell. | port-side handling: Port computes from stat() or fseek/ftell as needed. | Wave3-O1A 2026-05-22","W1D","low"
"0x100112e0","DX::GetStateString","Return human-readable string for an internal state enum (debug log helper). | port-side handling: Not ported; port uses string-literal logs via td5re_log. | Wave3-O1A 2026-05-22","W1D","low"
"0x10010cb0","DX::TGACompress","Compress a 32-bit RGBA scratch surface to RLE-TGA (file output for FPS benchmark report). | port-side handling: Used by orig WriteBenchmarkResultsTgaReport at race end; td5_fmv.c notes orig flow. Port benchmark mode does not export TGA. | Wave3-O1A 2026-05-22","W1D,REPLY","medium"
"0x1000e420","DX::ExtractSystemInfo","Probe Windows: GetSystemInfo + RegQueryValueEx for processor name. Populate DX::info (0x10061428). | port-side handling: Not ported; D3D11 device caps used instead. | Wave3-O1A 2026-05-22","W1D","low"
"0x1000ea00","DX::ExtractScreenInfo","Probe DDraw caps + display mode list. Populate DX::info screen section. | port-side handling: Replaced by DXGI enumeration in ddraw_wrapper. | Wave3-O1A 2026-05-22","W1D","medium"
"0x1000ebe0","DX::DecodeBmpToScratchSurface","Decode BMP file into 32-bit BGRA scratch surface. Used by frontend asset loaders for legacy BMP variants. | port-side handling: Replaced by td5_asset.c TGA decode; BMP variants not present in extracted assets. | Wave3-O1A 2026-05-22","W1D","low"
"0x1000ec80","DX::ImageProRGB","Pro RGB image decoder (palette + alpha mask blit). Used internally by Decode* paths. | port-side handling: Replaced by td5_asset.c direct BGRA reads. | Wave3-O1A 2026-05-22","W1D","low"
"0x1000edb0","DX::DecodeRgbs16ToScratchSurface","Decode raw 16-bit RGB565/RGB555 stream into scratch surface. | port-side handling: Replaced by ddraw_wrapper format conversion; not invoked at runtime in port. | Wave3-O1A 2026-05-22","W1D","low"
"0x1000ee30","DX::DecodeRgbs24ToScratchSurface","Decode raw 24-bit RGB stream into scratch surface. | port-side handling: Replaced; td5_asset.c uses BGRA exclusively. | Wave3-O1A 2026-05-22","W1D","low"
"0x1000ee80","DX::DecodeRgbs32ToScratchSurface","Decode raw 32-bit RGBA stream into scratch surface. | port-side handling: Replaced; td5_asset.c handles BGRA natively. | Wave3-O1A 2026-05-22","W1D","low"
"0x1000eed0","DX::DecodeTgaToScratchSurface","Decode TGA file (RLE + uncompressed, 24/32-bit) into BGRA scratch surface. | port-side handling: td5_asset.c::td5_asset_decode_tga reproduces orig TGA decode (Type 2 + Type 10 RLE). | Wave3-O1A 2026-05-22","W1D","high"
"0x1000e410","DXGetMainWindowHandle","Return DX::app.hwnd — global accessor for main window handle. | port-side handling: main.c exposes g_main_hwnd; ddraw_wrapper uses for swap chain. | Wave3-O1A 2026-05-22","W1D","high"
"0x10010d90","DX::GetSubString","Substring lookup helper (token-based config parsing). | port-side handling: Not ported; INI parse uses simple key=value scanning. | Wave3-O1A 2026-05-22","W1D","low"
"0x100110a0","DXDecimal","Format integer as ASCII decimal string (signed, fixed-width). | port-side handling: Port uses snprintf. | Wave3-O1A 2026-05-22","W1D","low"
"0x10011080","DXHex","Format integer as ASCII hex string. | port-side handling: Port uses snprintf %x. | Wave3-O1A 2026-05-22","W1D","low"
"0x100110c0","DXFDecimal","Format float as ASCII decimal string with fixed precision. | port-side handling: Port uses snprintf %f. | Wave3-O1A 2026-05-22","W1D","low"
"0x10011110","Report","Debug log printf — variadic, prepends timestamp. Heavily used across all DX subsystems for trace output. | port-side handling: td5_log.c::td5re_log; debug build only. | Wave3-O1A 2026-05-22","W1D,NETMP","medium"
"0x10011120","Msg","Display an error/info MessageBoxA + log entry. Used by ErrorN-coded paths. | port-side handling: Port uses Win32 MessageBoxA directly or stderr depending on context. | Wave3-O1A 2026-05-22","W1D,NETMP","medium"
"0x10011180","ReleaseMsg","MessageBoxA release-build variant (filtered by g_ReleaseMessagesEnabled). | port-side handling: Port uses td5re_log + MessageBoxA on critical failure. | Wave3-O1A 2026-05-22","W1D","low"
"0x10011220","LogReport","Append a log entry to disk log file (bLogPrefered controls vs OutputDebugStringA). | port-side handling: td5_log.c writes to log/td5re.log; matches orig file-log path when bLogPrefered set. | Wave3-O1A 2026-05-22","W1D","medium"
"0x100113a0","DXErrorToString","Map ErrorN code -> human-readable error string (DirectX HRESULT decode + DXPlay error codes). | port-side handling: Not ported; port logs raw HRESULTs. | Wave3-O1A 2026-05-22","W1D","low"
"0x10015f04","entry","DLL entry point (DllMain). Calls Environment functions for all subsystems on DLL_PROCESS_ATTACH. | port-side handling: Port has no DLL boundary — main.c WinMain drives all init directly. | Wave3-O1A 2026-05-22","W1D","high"
"0x10033ba8","DXInput::JoystickC","[DATA] Start of replay timeline entry array. Max 0x4E1C entries x 8 bytes = ~156KB BSS. Each entry: (frameAndChannel:u32, value:u32). Bit15 of frame = channel flag. | port-side handling: td5_input.c:1080-1335 stubs the equivalent buffer in port memory; not persisted. | Wave3-O1A 2026-05-22","REPLY,W1D,SRC","high"
"0x10033b9c","DXInput::JoystickCurrent","[DATA] Cursor into the replay timeline (writeIndex/readIndex shared). | port-side handling: td5_input.c port-side cursor. | Wave3-O1A 2026-05-22","REPLY","high"
"0x10033b90","DXInput::AnsiReadP_trackHeader","[DATA] Replay header trackIndex (set by WriteOpen). | port-side handling: td5_input.c stub. | Wave3-O1A 2026-05-22","REPLY,W1D","medium"
"0x10033b94","DXInput::entryCount","[DATA] Replay header entryCount (starts at 2 = initial-state entries for channels 0,1). | port-side handling: td5_input.c stub. | Wave3-O1A 2026-05-22","REPLY,W1D","medium"
"0x1005ecd8","DXPlay::dpu","[DATA] DPU shared block — 0xC10 bytes. Exported as DXPlay::dpu, imported by EXE as dpu_exref (IAT 0x0045D4E4). Holds session state, player tables, host slot index. | port-side handling: td5_net.c port-side struct mirrors but ARCH-DIVERGENCE in layout (driver-name stride 0x3... | Wave3-O1A 2026-05-22","NETMP,ARCH","high"
"0x1005b148","DXPlay::bConnectionLost","[DATA] flag — set to 1 when DXPlay detects connection loss (timeout, DPSYS_SESSIONLOST). | port-side handling: td5_net.c port-side equivalent unused (no live net). | Wave3-O1A 2026-05-22","NETMP","medium"
"0x10028a58","DXD3D::d3d","[DATA] Singleton D3D state struct — IDirect3D3*, IDirect3DDevice3*, viewport, driver index, mode list. | port-side handling: Replaced by ddraw_wrapper D3D11 globals. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10030ff0","DXDraw::dd","[DATA] Singleton DDraw state struct — IDirectDraw7*, primary surface, back buffer, surface pool, gamma control. | port-side handling: Replaced by ddraw_wrapper D3D11 swap chain. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10061ad0","DX::app","[DATA] Application singleton — HWND, HINSTANCE, WNDCLASS, message pump state, app name, version. | port-side handling: main.c port-side globals (g_main_hwnd, g_main_hinstance). | Wave3-O1A 2026-05-22","W1D","high"
"0x1005b128","DXInput::FFGainScale","[DATA] Force-feedback gain scale (0..10000 percent). Applied to PlayEffect magnitudes. | port-side handling: td5_input.c port-side ff_gain_scale equivalent; INI [Controls] FFBStrength. | Wave3-O1A 2026-05-22","INPUT,W1D","medium"
"0x1005acc0","DXInput::js","[DATA] Joystick state buffer — DIJOYSTATE2 + button history, polled by GetJS. | port-side handling: td5_input.c port-side joystick state buffer. | Wave3-O1A 2026-05-22","INPUT","medium"
"0x1005ada8","DXInput::JoystickType","[DATA] Current joystick sub-type code (0x04xx variants from input-and-configuration.md sec 'Control Options'): 0x03=KB, 0x04=stick, 0x0400/0x0600=gamepad/wheel. | port-side handling: td5_input.c port-side device-type discriminator; td5_frontend.c uses for icon display. | Wave3-O1A 2026-05-22","INPUT","medium"
